{}
Asset Acct,Item Number,Item Name,Buy,Sell,Inventory,Income Acct,Expense/COS Acct,Description,Use Desc. On Invoice,Custom List 1,Custom List 2,Custom List 3,Custom Field 1,Custom Field 2,Custom Field 3,Primary Supplier,Supplier Item Number,Tax Code When Bought,Buy Unit Measure,No. Items/Buy Unit,Reorder Quantity,Minimum Level,Selling Price,Sell Unit Measure,Tax Code When Sold,Sell Price Inclusive,Sales Tax Calc. Method,No. Items/Sell Unit,Quantity Break 1,Quantity Break 2,Quantity Break 3,Quantity Break 4,Quantity Break 5,"Price Level A, Qty Break 1","Price Level B, Qty Break 1","Price Level C, Qty Break 1","Price Level D, Qty Break 1","Price Level E, Qty Break 1","Price Level F, Qty Break 1","Price Level A, Qty Break 2","Price Level B, Qty Break 2","Price Level C, Qty Break 2","Price Level D, Qty Break 2","Price Level E, Qty Break 2","Price Level F, Qty Break 2","Price Level A, Qty Break 3","Price Level B, Qty Break 3","Price Level C, Qty Break 3","Price Level D, Qty Break 3","Price Level E, Qty Break 3","Price Level F, Qty Break 3","Price Level A, Qty Break 4","Price Level B, Qty Break 4","Price Level C, Qty Break 4","Price Level D, Qty Break 4","Price Level E, Qty Break 4","Price Level F, Qty Break 4","Price Level A, Qty Break 5","Price Level B, Qty Break 5","Price Level C, Qty Break 5","Price Level D, Qty Break 5","Price Level E, Qty Break 5","Price Level F, Qty Break 5",Inactive Item,Standard Cost,Default Ship/Sell Location,Default Recvd/Auto Location
11305,ZZAG 1530B,AG Cylinder 1.5" x 30" Port B,B,S,I,41110,51110,,,,,,,,,,,GST,,1,0,0,$536.00,,GST,,0,1,0,0,0,0,0,536,457,457,457,457,457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,$0.00,,
11305,ZZAG 1536A,AG Cylinder 1.5" x 36" Port A,B,S,I,41110,51110,,,,,,,,,,,GST,,1,0,0,$587.00,,GST,,0,1,0,0,0,0,0,587,489,489,489,489,489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,$0.00,,
11305,ZZAG 1540A,AG Cylinder 1.5" x 40" Port A,B,S,I,41110,51110,,,,,,,,,,,GST,,1,0,0,$587.00,,GST,,0,1,0,0,0,0,0,587,570,570,570,570,570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,$0.00,,
11305,ZZAG 1544A,AG Cylinder 1.5" x 44" Port A,B,S,I,41110,51110,,,,,,,,,,,GST,,1,0,0,$587.00,,GST,,0,1,0,0,0,0,0,587,570,570,570,570,570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,$0.00,,
11305,ZZAG 1548A,AG Cylinder 1.5" x 48" Port A,B,S,I,41110,51110,,,,,,,,,,,GST,,1,0,0,$690.00,,GST,,0,1,0,0,0,0,0,690,570,570,570,570,570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,$0.00,,
11305,ZZAG 2002A,AG Cylinder 2" x 2" Port A,B,S,I,41110,51110,,,,,,,,,Austral Hydraulics Pty Ltd,,GST,,1,0,0,$329.00,,GST,,0,1,0,0,0,0,0,329,329,329,329,329,329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,$0.00,,
11305,AG 2004A,AG Cylinder 2" x 4" Port A,B,S,I,41110,51110,,,,,,,,,QMN,,GST,,1,0,0,$371.55,,GST,,0,1,0,0,0,0,0,371.55,308,308,308,308,308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,$0.00,,
11305,AG 2006A,AG Cylinder 2" x 6" Port A,B,S,I,41110,51110,,,,,,,,,QMN,AG 2006A,GST,,1,2,2,$329.00,,GST,,0,1,0,0,0,0,0,329,308,308,308,308,308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,$0.00,,
11305,ZZAG 2006B,AG Cylinder 2" x 6" Port B,B,S,I,41110,51110,,,,,,,,,,,GST,,1,0,0,$329.00,,GST,,0,1,0,0,0,0,0,329,308,308,308,308,308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,$0.00,,
11305,AG 2008A,AG Cylinder 2" x 8" Port A,B,S,I,41110,51110,,,,,,,,,QMN,,GST,,1,0,0,$398.00,,GST,,0,1,0,0,0,0,0,398,313,313,313,313,313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,$0.00,,
11305,ZZAG 2010A,AG Cylinder 2" x 10" Port A,B,S,I,41110,51110,,,,,,,,,QMN,AG 2010A,GST,,1,2,2,$347.00,,GST,,0,1,0,0,0,0,0,347,328,328,328,328,328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,$0.00,,
11305,ZZAG 2010B,AG Cylinder 2" x 10" Port B,B,S,I,41110,51110,,,,,,,,,,,GST,,1,0,0,$347.00,,GST,,0,1,0,0,0,0,0,347,328,328,328,328,328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,$0.00,,
11305,AG 2012A,AG Cylinder 2" x 12" Port A,B,S,I,41110,51110,,,,,,,,,QMN,,GST,,1,0,0,$442.00,,GST,,0,1,0,0,0,0,0,442,342,342,342,342,342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,$0.00,,
11305,ZZAG 2012B,AG Cylinder 2" x 12" Port B,B,S,I,41110,51110,,,,,,,,,,,GST,,1,0,0,$365.00,,GST,,0,1,0,0,0,0,0,365,342,342,342,342,342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,$0.00,,
11305,AG 2014A,AG Cylinder 2" x 14" Port A,B,S,I,41110,51110,,,,,,,,,QMN,,GST,,1,0,0,$466.50,,GST,,0,1,0,0,0,0,0,466.5,366,366,366,366,366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,$0.00,,
11305,AG 2016A,AG Cylinder 2" x 16" Port A,B,S,I,41110,51110,,,,,,,,,QMN,,GST,,1,0,0,$488.00,,GST,,0,1,0,0,0,0,0,488,380,380,380,380,380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,$0.00,,
11305,AG 2018A,AG Cylinder 2" x 18" Port A,B,S,I,41110,51110,,,,,,,,,QMN,,GST,,1,0,0,$418.00,,GST,,0,1,0,0,0,0,0,418,418,418,418,418,418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,$0.00,,
11305,AG 2020A,AG Cylinder 2" x 20" Port A,B,S,I,41110,51110,,,,,,,,,QMN,,GST,,1,0,0,$539.50,,GST,,0,1,0,0,0,0,0,539.5,410,410,410,410,410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,$0.00,,
11305,ZZAG 2022A,AG Cylinder 2" x 22" Port A,B,S,I,41110,51110,,,,,,,,,,,GST,,1,0,0,$473.00,,GST,,0,1,0,0,0,0,0,473,442,442,442,442,442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,$0.00,,
11305,AG 2024A,AG Cylinder 2" x 24" Port A,B,S,I,41110,51110,,,,,,,,,QMN,AG 2024A,GST,,1,2,2,$575.00,,GST,,0,1,0,0,0,0,0,575,442,442,442,442,442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,$0.00,,
11305,ZZAG 2026A,AG Cylinder 2" x 26" Port A,B,S,I,41110,51110,,,,,,,,,,,GST,,1,0,0,$533.00,,GST,,0,1,0,0,0,0,0,533,469,469,469,469,469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,$0.00,,
11305,ZZAG 2028A,AG Cylinder 2" x 28" Port A,B,S,I,41110,51110,,,,,,,,,,,GST,,1,0,0,$539.00,,GST,,0,1,0,0,0,0,0,539,481,481,481,481,481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,$0.00,,
11305,ZZAG 2030A,AG Cylinder 2" x 30" Port A,B,S,I,41110,51110,,,,,,,,,,,GST,,1,0,0,$542.00,,GST,,0,1,0,0,0,0,0,542,489,489,489,489,489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,$0.00,,
11305,ZZAG 2036A,AG Cylinder 2" x 36" Port A,B,S,I,41110,51110,,,,,,,,,,,GST,,1,0,0,$584.00,,GST,,0,1,0,0,0,0,0,584,543,543,543,543,543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,$0.00,,
11305,ZZAG 2042A,AG Cylinder 2" x 42" Port A,B,S,I,41110,51110,,,,,,,,,,,GST,,1,0,0,$712.00,,GST,,0,1,0,0,0,0,0,712,600,600,600,600,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,$0.00,,
11305,AG 2048A,AG Cylinder 2" x 48" Port A,B,S,I,41110,51110,,,,,,,,,QMN,,GST,,1,0,0,$861.50,,GST,,0,1,0,0,0,0,0,861.5,617,617,617,617,617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,$0.00,,
11305,AG 2504A,AG Cylinder 2.5" x 4" Port A,B,S,I,41110,51110,,,,,,,,,QMN,,GST,,1,0,0,$401.00,,GST,,0,1,0,0,0,0,0,401,311,311,311,311,311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,$0.00,,
11305,ZZAG 2506A,AG Cylinder 2.5" x 6" Port A,B,S,I,41110,51110,,,,,,,,,,,GST,,1,0,0,$331.00,,GST,,0,1,0,0,0,0,0,331,311,311,311,311,311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,$0.00,,
11305,ZZAG 2508A,AG Cylinder 2.5" x 8" Port,B,S,I,41110,51110,,,,,,,,,QMN,AG 2508A,GST,,1,2,2,$331.00,,GST,,0,1,0,0,0,0,0,331,311,311,311,311,311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,$0.00,,
11305,AG 2508AT2,AG Cylinder 2.5" x 8" TopLink,B,S,I,41110,51110,,,,,,,,,QMN,,GST,,1,0,0,$403.00,,GST,,0,1,0,0,0,0,0,403,403,403,403,403,403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,$0.00,,
11305,ZZAG 2508B,AG Cylinder 2.5" x 8" Port B,B,S,I,41110,51110,,,,,,,,,,,GST,,1,0,0,$331.00,,GST,,0,1,0,0,0,0,0,331,311,311,311,311,311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,$0.00,,
11305,ZZAG 2510A,AG Cylinder 2.5" x 10" Port A,B,S,I,41110,51110,,,,,,,,,,,GST,,1,0,0,$349.00,,GST,,0,1,0,0,0,0,0,349,339,339,339,339,339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,$0.00,,
11305,ZZAG 2510B,AG Cylinder 2.5" x 10" Port B,B,S,I,41110,51110,,,,,,,,,,,GST,,1,0,0,$349.00,,GST,,0,1,0,0,0,0,0,349,339,339,339,339,339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,$0.00,,
11305,ZZAG 2512A,AG Cylinder 2.5" x 12" Port A,B,S,I,41110,51110,,,,,,,,,QMN,AG 2512A,GST,,1,2,2,$367.00,,GST,,0,1,0,0,0,0,0,367,339,339,339,339,339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,$0.00,,
11305,AG 2512AT2,AG Cylinder 2.5" x 12" TopLink,B,S,I,41110,51110,,,,,,,,,QMN,,GST,,1,0,0,$430.00,,GST,,0,1,0,0,0,0,0,430,430,430,430,430,430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,$0.00,,
11305,ZZAG 2512B,AG Cylinder 2.5" x 12" Port B,B,S,I,41110,51110,,,,,,,,,,,GST,,1,0,0,$367.00,,GST,,0,1,0,0,0,0,0,367,375,375,375,375,375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,$0.00,,
11305,AG 2514A,AG Cylinder 2.5" x 14" Port A,B,S,I,41110,51110,,,,,,,,,QMN,,GST,,1,0,0,$466.50,,GST,,0,1,0,0,0,0,0,466.5,375,375,375,375,375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,$0.00,,
11305,ZZAG 2516A,AG Cylinder 2.5" x 16" Port A,B,S,I,41110,51110,,,,,,,,,,,GST,,1,0,0,$403.00,,GST,,0,1,0,0,0,0,0,403,403,403,403,403,403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,$0.00,,
11305,AG 2518A,AG Cylinder 2.5" x 18" Port A,B,S,I,41110,51110,,,,,,,,,QMN,,GST,,1,0,0,$421.00,,GST,,0,1,0,0,0,0,0,421,410,410,410,410,410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,$0.00,,
11305,ZZAG 2520A,AG Cylinder 2.5" x 20" Port A,B,S,I,41110,51110,,,,,,,,,,,GST,,1,0,0,$448.00,,GST,,0,1,0,0,0,0,0,448,423,423,423,423,423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,$0.00,,
11305,AG 2522A,AG Cylinder 2.5" x 22" Port A,B,S,I,41110,51110,,,,,,,,,QMN,,GST,,1,0,0,$575.00,,GST,,0,1,0,0,0,0,0,575,428,428,428,428,428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,$0.00,,
11305,ZZAG 2524A,AG Cylinder 2.5" x 24" Port A,B,S,I,41110,51110,,,,,,,,,,,GST,,1,0,0,$475.00,,GST,,0,1,0,0,0,0,0,475,475,475,475,475,475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,$0.00,,
11305,ZZAG 2526A,AG Cylinder 2.5" x 26" Port A,B,S,I,41110,51110,,,,,,,,,,,GST,,1,0,0,$542.00,,GST,,0,1,0,0,0,0,0,542,522,522,522,522,522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,$0.00,,
11305,ZZAG 2528A,AG Cylinder 2.5" x 28" Port A,B,S,I,41110,51110,,,,,,,,,,,GST,,1,0,0,$542.00,,GST,,0,1,0,0,0,0,0,542,535,535,535,535,535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,$0.00,,
11305,ZZAG 2530A,AG Cylinder 2.5" x 30" Port A,B,S,I,41110,51110,,,,,,,,,,,GST,,1,0,0,$542.00,,GST,,0,1,0,0,0,0,0,542,542,542,542,542,542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,$0.00,,
11305,AG 2536A,AG Cylinder 2.5" x 36" Port A,B,S,I,41110,51110,,,,,,,,,QMN,,GST,,1,0,0,$709.50,,GST,,0,1,0,0,0,0,0,709.5,610,610,610,610,610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,$0.00,,
11305,ZZAG 2542A,AG Cylinder 2.5" x 42" Port A,B,S,I,41110,51110,,,,,,,,,,,GST,,1,0,0,$714.00,,GST,,0,1,0,0,0,0,0,714,696,696,696,696,696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,$0.00,,
11305,ZZAG 2548A,AG Cylinder 2.5" x 48" Port A,B,S,I,41110,51110,,,,,,,,,,,GST,,1,0,0,$714.00,,GST,,0,1,0,0,0,0,0,714,714,714,714,714,714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,$0.00,,
11305,ZZAG 3004A,AG Cylinder 3" x 4" Port A,B,S,I,41110,51110,,,,,,,,,,,GST,,1,0,0,$387.00,,GST,,0,1,0,0,0,0,0,387,363,363,363,363,363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,$0.00,,
11305,ZZAG 3006A,AG Cylinder 3" x 6" Port,B,S,I,41110,51110,,,,,,,,,,,GST,,1,0,0,$387.00,,GST,,0,1,0,0,0,0,0,387,363,363,363,363,363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,$0.00,,
11305,ZZAG 3008A,AG Cylinder 3" x 8" Port A,B,S,I,41110,51110,,,,,,,,,QMN,AG 3008A,GST,,1,2,2,$387.00,,GST,,0,1,0,0,0,0,0,387,363,363,363,363,363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,$0.00,,
11305,ZZAG 3008B,AG Cylinder 3" x 8" Port B,B,S,I,41110,51110,,,,,,,,,,,GST,,1,0,0,$387.00,,GST,,0,1,0,0,0,0,0,387,339,339,339,339,339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,$0.00,,
11305,ZZAG 3010A,AG Cylinder 3" x 10" Port A,B,S,I,41110,51110,,,,,,,,,,,GST,,1,0,0,$408.00,,GST,,0,1,0,0,0,0,0,408,403,403,403,403,403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,$0.00,,
11305,ZZAG 3012A,AG Cylinder 3" x 12" Port A,B,S,I,41110,51110,,,,,,,,,,,GST,,1,0,0,$430.00,,GST,,0,1,0,0,0,0,0,430,423,423,423,423,423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,$0.00,,
11305,ZZAG 3014A,AG Cylinder 3" x 14" Port A,B,S,I,41110,51110,,,,,,,,,,,GST,,1,0,0,$494.00,,GST,,0,1,0,0,0,0,0,494,463,463,463,463,463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,$0.00,,
11305,ZZAG 3016A,AG Cylinder 3" x 16" Port A,B,S,I,41110,51110,,,,,,,,,,,GST,,1,0,0,$494.00,,GST,,0,1,0,0,0,0,0,494,494,494,494,494,494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,$0.00,,
11305,ZZAG 3018A,AG Cylinder 3" x 18" Port A,B,S,I,41110,51110,,,,,,,,,,,GST,,1,0,0,$494.00,,GST,,0,1,0,0,0,0,0,494,487,487,487,487,487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,$0.00,,
11305,AG 3020A,AG Cylinder 3" x 20" Port A,B,S,I,41110,51110,,,,,,,,,QMN,AG 3020A,GST,,1,0,0,$557.00,,GST,,0,1,0,0,0,0,0,557,557,557,557,557,557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,$557.00,,
11305,ZZAG 3022A,AG Cylinder 3" x 22" Port A,B,S,I,41110,51110,,,,,,,,,,,GST,,1,0,0,$557.00,,GST,,0,1,0,0,0,0,0,557,546,546,546,546,546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,$0.00,,
11305,ZZAG 3024A,AG Cylinder 3" x 24" Port A,B,S,I,41110,51110,,,,,,,,,,,GST,,1,0,0,$557.00,,GST,,0,1,0,0,0,0,0,557,557,557,557,557,557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,$0.00,,
11305,ZZAG 3026A,AG Cylinder 3" x 26" Port A,B,S,I,41110,51110,,,,,,,,,,,GST,,1,0,0,$621.00,,GST,,0,1,0,0,0,0,0,621,589,589,589,589,589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,$0.00,,
11305,ZZAG 3028A,AG Cylinder 3" x 28" Port A,B,S,I,41110,51110,,,,,,,,,,,GST,,1,0,0,$621.00,,GST,,0,1,0,0,0,0,0,621,597,597,597,597,597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,$0.00,,
11305,ZZAG 3030A,AG Cylinder 3" x 30" Port A,B,S,I,41110,51110,,,,,,,,,,,GST,,1,0,0,$621.00,,GST,,0,1,0,0,0,0,0,621,621,621,621,621,621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,$0.00,,
11305,ZZAG 3030B,AG Cylinder 3" x 30" Port B,B,S,I,41110,51110,,,,,,,,,,,GST,,1,0,0,$621.00,,GST,,0,1,0,0,0,0,0,621,605,605,605,605,605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,$0.00,,
